"Date","Action","Symbol","Description","Quantity","Price","Fees & Comm","Amount"
"02/29/2024","Sell","TME","TENCENT MUSIC ENTMT GR FSPONSORED ADR 1 ADR REPS 2 ORD SHS","307","$10.38","$0.08","$3186.58"
"02/27/2024","Qualified Dividend","PBR","PETROLEO BRASILEIRO FSPONSORED ADR 1 ADR REPS 2 ORD SHS","","","","$35.51"
"02/27/2024","Qualified Dividend","PBR","PETROLEO BRASILEIRO FSPONSORED ADR 1 ADR REPS 2 ORD SHS","","","","$62.67"
"02/22/2024","Sell","LPL","LG DISPLAY CO LTD FSPONSORED ADR 1 ADR REPS 0.5 ORD SHS","649","$4.42","$0.13","$2868.45"
"02/22/2024","Sell","JD","JD COM INC FSPONSORED ADR 1 ADR REPS 2 ORD SHS","144","$24.00","$0.05","$3455.95"
"02/22/2024","Sell","PAGS","PAGSEGURO DIGITAL FCLASS A","163","$13.03","$0.05","$2123.84"
"02/15/2024","Qualified Dividend","WIT","WIPRO LTD FSPONSORED ADR 1 ADR REPS 1 ORD SHS","","","","$4.21"
"01/31/2024","Qualified Dividend","TGLS","TECNOGLASS INC F","","","","$7.11"
"01/11/2024","Qualified Dividend","TSM","TAIWAN SEMICONDUCTR FSPONSORED ADR 1 ADR REPS 5 ORD SHS","","","","$73.94"
"01/05/2024","Cash Dividend","SQM","SOCIEDAD QUIMICA Y MIN FSPONSORED ADR 1 ADR REPS 1 ORD SHS","","","","$74.43"
"01/03/2024","Qualified Dividend","PBR","PETROLEO BRASILEIRO FSPONSORED ADR 1 ADR REPS 2 ORD SHS","","","","$73.27"
"01/03/2024","Qualified Dividend","PBR","PETROLEO BRASILEIRO FSPONSORED ADR 1 ADR REPS 2 ORD SHS","","","","$9.48"
"12/27/2023","Cash Dividend","IEMG","ISHARES CORE MSCI EMERGING ETF","","","","$718.11"
"12/22/2023","Qualified Dividend","PBR","PETROLEO BRASILEIRO FSPONSORED ADR 1 ADR REPS 2 ORD SHS","","","","$82.66"
"12/19/2023","Qualified Dividend","YUMC","YUM CHINA HOLDINGS INC","","","","$12.87"
"12/15/2023","Qualified Dividend","NTES","NETEASE INC FSPONSORED ADR 1 ADR REPS 5 ORD SHS","","","","$47.03"
"12/01/2023","Qualified Dividend","PKX","POSCO HOLDINGS INC ADR FSPONSORED ADR 1 ADR REP 0.25 ORD SHS","","","","$47.55"
"11/30/2023","Qualified Dividend","PBR","PETROLEO BRASILEIRO FSPONSORED ADR 1 ADR REPS 2 ORD SHS","","","","$53.21"
"11/30/2023","Qualified Dividend","PBR","PETROLEO BRASILEIRO FSPONSORED ADR 1 ADR REPS 2 ORD SHS","","","","$30.45"
"11/21/2023","Cash Dividend","SQM","SOCIEDAD QUIMICA Y MIN FSPONSORED ADR 1 ADR REPS 1 ORD SHS","","","","$91.45"
"10/31/2023","Qualified Dividend","TGLS","TECNOGLASS INC F","","","","$7.11"
"10/12/2023","Qualified Dividend","TSM","TAIWAN SEMICONDUCTR FSPONSORED ADR 1 ADR REPS 5 ORD SHS","","","","$71.16"
"10/03/2023","Non-Qualified Div","ANPDY","ANTA SPORTS PRODUCT FSPONSORED ADR 1 ADR REPS 25 ORD SHS","","","","$91.76"
"09/27/2023","Qualified Dividend","PBR","PETROLEO BRASILEIRO FSPONSORED ADR 1 ADR REPS 2 ORD SHS","","","","$138.75"
"09/25/2023","Mandatory Reorg Exc","AU","ANGLOGOLD ASHANTI PLC F","226","","",""
"09/25/2023","Mandatory Reorg Exc","035128206","ANGOLD ASHANTI FSPONSORED ADR 1 ADR REPS 1 ORD SHS","-226","","",""
"09/22/2023","Qualified Dividend","NTES","NETEASE INC FSPONSORED ADR 1 ADR REPS 5 ORD SHS","","","","$49.88"
"09/18/2023","Qualified Dividend","AU","ANGOLD ASHANTI FSPONSORED ADR 1 ADR REPS 1 ORD SHS","","","","$8.27"
"09/18/2023","Qualified Dividend","YUMC","YUM CHINA HOLDINGS INC","","","","$12.87"
"09/11/2023","Qualified Dividend","BTSGY","BTS GROUP HOLDINGS PUB FSPONSORED ADR 1 ADR REPS ...100 ORD SHS","","","","$54.08"
"09/06/2023","Qualified Dividend","PKX","POSCO HOLDINGS INC ADR FSPONSORED ADR 1 ADR REP 0.25 ORD SHS","","","","$46.75"
"08/25/2023","Qualified Dividend","PBR","PETROLEO BRASILEIRO FSPONSORED ADR 1 ADR REPS 2 ORD SHS","","","","$95.55"
"08/25/2023","Qualified Dividend","PBR","PETROLEO BRASILEIRO FSPONSORED ADR 1 ADR REPS 2 ORD SHS","","","","$39.75"
"08/11/2023","Qualified Dividend","RDY","DR REDDY S LABORATORIE FSPONSORED ADR 1 ADR REPS 1 ORD SHS","","","","$41.99"
"07/31/2023","Cash Dividend","SQM","SOCIEDAD QUIMICA Y MIN FSPONSORED ADR 1 ADR REPS 1 ORD SHS","","","","$115.86"
"07/31/2023","Cash Dividend","TGLS","TECNOGLASS INC F","","","","$7.11"
"07/28/2023","Qualified Dividend","IBAAY","INDUSTRIAS BACHOCO S A FEXCHANGE OFFER EXP: 08/11/23","","","","$75.30"
"07/13/2023","Qualified Dividend","TSM","TAIWAN SEMICONDUCTR FSPONSORED ADR 1 ADR REPS 5 ORD SHS","","","","$67.17"
"07/03/2023","Qualified Dividend","ASAI","SENDAS DISTRIBUIDORA S FSPONSORED ADR 1 ADR REPS 5 ORD SHS","","","","$12.04"
"06/23/2023","Qualified Dividend","PBR","PETROLEO BRASILEIRO FSPONSORED ADR 1 ADR REPS 2 ORD SHS","","","","$136.41"
"06/23/2023","Qualified Dividend","NTES","NETEASE INC FSPONSORED ADR 1 ADR REPS 5 ORD SHS","","","","$44.18"
"06/20/2023","Qualified Dividend","TCEHY","TENCENT HOLDINGS FUNSPONSORED ADR 1 ADR REPS 1 ORD SHS","","","","$31.78"
"06/20/2023","Qualified Dividend","YUMC","YUM CHINA HOLDINGS INC","","","","$12.87"
